talking_point,talking_point_label,initial_support,group_n,low_base_flag,response,count,pct_of_group
SHWA24,"Occupant benefit / ageing in place","Strongly support",389,,"Much more likely",286,73.5
SHWA24,"Occupant benefit / ageing in place","Strongly support",389,,"Somewhat more likely",46,11.8
SHWA24,"Occupant benefit / ageing in place","Strongly support",389,,"No difference",54,13.9
SHWA24,"Occupant benefit / ageing in place","Strongly support",389,,"Somewhat less likely",1,0.3
SHWA24,"Occupant benefit / ageing in place","Strongly support",389,,"Much less likely",2,0.5
SHWA24,"Occupant benefit / ageing in place","Strongly support",389,,"Unsure",0,0.0
SHWA24,"Occupant benefit / ageing in place","Somewhat support",209,,"Much more likely",42,20.1
SHWA24,"Occupant benefit / ageing in place","Somewhat support",209,,"Somewhat more likely",74,35.4
SHWA24,"Occupant benefit / ageing in place","Somewhat support",209,,"No difference",87,41.6
SHWA24,"Occupant benefit / ageing in place","Somewhat support",209,,"Somewhat less likely",4,1.9
SHWA24,"Occupant benefit / ageing in place","Somewhat support",209,,"Much less likely",0,0.0
SHWA24,"Occupant benefit / ageing in place","Somewhat support",209,,"Unsure",2,1.0
SHWA24,"Occupant benefit / ageing in place","Neither support nor oppose",68,,"Much more likely",4,5.9
SHWA24,"Occupant benefit / ageing in place","Neither support nor oppose",68,,"Somewhat more likely",25,36.8
SHWA24,"Occupant benefit / ageing in place","Neither support nor oppose",68,,"No difference",32,47.1
SHWA24,"Occupant benefit / ageing in place","Neither support nor oppose",68,,"Somewhat less likely",4,5.9
SHWA24,"Occupant benefit / ageing in place","Neither support nor oppose",68,,"Much less likely",0,0.0
SHWA24,"Occupant benefit / ageing in place","Neither support nor oppose",68,,"Unsure",3,4.4
SHWA24,"Occupant benefit / ageing in place","Somewhat oppose",40,y,"Much more likely",0,0.0
SHWA24,"Occupant benefit / ageing in place","Somewhat oppose",40,y,"Somewhat more likely",2,5.0
SHWA24,"Occupant benefit / ageing in place","Somewhat oppose",40,y,"No difference",27,67.5
SHWA24,"Occupant benefit / ageing in place","Somewhat oppose",40,y,"Somewhat less likely",7,17.5
SHWA24,"Occupant benefit / ageing in place","Somewhat oppose",40,y,"Much less likely",3,7.5
SHWA24,"Occupant benefit / ageing in place","Somewhat oppose",40,y,"Unsure",1,2.5
SHWA24,"Occupant benefit / ageing in place","Strongly oppose",28,y,"Much more likely",2,7.1
SHWA24,"Occupant benefit / ageing in place","Strongly oppose",28,y,"Somewhat more likely",3,10.7
SHWA24,"Occupant benefit / ageing in place","Strongly oppose",28,y,"No difference",13,46.4
SHWA24,"Occupant benefit / ageing in place","Strongly oppose",28,y,"Somewhat less likely",2,7.1
SHWA24,"Occupant benefit / ageing in place","Strongly oppose",28,y,"Much less likely",7,25.0
SHWA24,"Occupant benefit / ageing in place","Strongly oppose",28,y,"Unsure",1,3.6
SHWA24,"Occupant benefit / ageing in place","Unsure",28,y,"Much more likely",0,0.0
SHWA24,"Occupant benefit / ageing in place","Unsure",28,y,"Somewhat more likely",6,21.4
SHWA24,"Occupant benefit / ageing in place","Unsure",28,y,"No difference",1,3.6
SHWA24,"Occupant benefit / ageing in place","Unsure",28,y,"Somewhat less likely",0,0.0
SHWA24,"Occupant benefit / ageing in place","Unsure",28,y,"Much less likely",0,0.0
SHWA24,"Occupant benefit / ageing in place","Unsure",28,y,"Unsure",21,75.0
SHWA25,"Cost & housing supply (opposition frame)","Strongly support",389,,"Much more likely",108,27.8
SHWA25,"Cost & housing supply (opposition frame)","Strongly support",389,,"Somewhat more likely",41,10.5
SHWA25,"Cost & housing supply (opposition frame)","Strongly support",389,,"No difference",199,51.2
SHWA25,"Cost & housing supply (opposition frame)","Strongly support",389,,"Somewhat less likely",28,7.2
SHWA25,"Cost & housing supply (opposition frame)","Strongly support",389,,"Much less likely",7,1.8
SHWA25,"Cost & housing supply (opposition frame)","Strongly support",389,,"Unsure",6,1.5
